ActivityID,ActivityTypeID,ActivityDate,SpecificDetails
1,23,2024-10-03,Specific observation for activity 1.
2,58,2024-10-02,Specific observation for activity 2.
3,384,2024-10-05,Specific observation for activity 3.
4,329,2024-05-20,Specific observation for activity 4.
5,11,2024-01-13,Specific observation for activity 5.
6,439,2023-05-27,Specific observation for activity 6.
7,329,2025-01-29,Specific observation for activity 7.
8,1,2024-04-18,Specific observation for activity 8.
9,482,2025-08-10,Specific observation for activity 9.
10,130,2025-09-19,Specific observation for activity 10.
11,61,2025-11-27,Specific observation for activity 11.
12,5,2025-12-09,Specific observation for activity 12.
13,301,2024-01-17,Specific observation for activity 13.
14,277,2023-03-15,Specific observation for activity 14.
15,390,2024-05-09,Specific observation for activity 15.
16,463,2025-06-25,Specific observation for activity 16.
17,286,2024-04-18,Specific observation for activity 17.
18,178,2024-04-24,Specific observation for activity 18.
19,231,2025-01-01,Specific observation for activity 19.
20,333,2025-02-02,Specific observation for activity 20.
21,157,2025-07-25,Specific observation for activity 21.
22,444,2023-05-30,Specific observation for activity 22.
23,424,2025-03-06,Specific observation for activity 23.
24,224,2023-04-24,Specific observation for activity 24.
25,398,2023-12-04,Specific observation for activity 25.
26,140,2025-02-02,Specific observation for activity 26.
27,420,2024-08-14,Specific observation for activity 27.
28,417,2025-02-08,Specific observation for activity 28.
29,310,2025-06-30,Specific observation for activity 29.
30,153,2025-03-18,Specific observation for activity 30.
31,330,2023-07-17,Specific observation for activity 31.
32,220,2023-03-17,Specific observation for activity 32.
33,24,2023-08-14,Specific observation for activity 33.
34,455,2025-08-16,Specific observation for activity 34.
35,492,2025-07-14,Specific observation for activity 35.
36,411,2023-07-15,Specific observation for activity 36.
37,118,2025-01-30,Specific observation for activity 37.
38,302,2025-07-21,Specific observation for activity 38.
39,324,2023-03-02,Specific observation for activity 39.
40,235,2023-10-09,Specific observation for activity 40.
41,201,2024-10-12,Specific observation for activity 41.
42,104,2024-12-02,Specific observation for activity 42.
43,11,2025-07-15,Specific observation for activity 43.
44,194,2025-09-10,Specific observation for activity 44.
45,187,2025-04-26,Specific observation for activity 45.
46,358,2025-11-19,Specific observation for activity 46.
47,224,2025-10-24,Specific observation for activity 47.
48,483,2023-12-20,Specific observation for activity 48.
