AnimalID,Name,DateOfBirth,Gender,HabitatID,SpeciesID,DietPlanID
1,Animal_1,2011-08-22,Female,57,275,472
2,Animal_2,2010-03-17,Female,445,3,110
3,Animal_3,2012-07-24,Female,6,27,78
4,Animal_4,2018-10-28,Male,233,52,484
5,Animal_5,2017-11-08,Female,221,112,274
6,Animal_6,2015-10-16,Female,93,215,191
7,Animal_7,2021-05-28,Male,252,162,214
8,Animal_8,2011-07-13,Male,241,108,275
9,Animal_9,2024-05-12,Male,113,150,12
10,Animal_10,2016-07-17,Female,260,301,38
11,Animal_11,2015-11-07,Male,56,191,246
12,Animal_12,2017-04-26,Female,19,297,488
13,Animal_13,2016-01-18,Male,237,142,463
14,Animal_14,2023-01-20,Male,496,293,207
15,Animal_15,2024-11-06,Male,325,198,64
16,Animal_16,2010-07-23,Male,422,187,192
17,Animal_17,2024-08-11,Female,291,285,144
18,Animal_18,2014-09-04,Male,391,213,205
19,Animal_19,2012-07-15,Female,129,214,426
20,Animal_20,2012-11-06,Female,390,340,49
21,Animal_21,2022-01-18,Male,177,433,342
22,Animal_22,2012-11-20,Female,476,338,170
23,Animal_23,2010-10-26,Male,6,25,494
24,Animal_24,2016-10-21,Female,327,205,253
25,Animal_25,2016-05-14,Female,371,80,160
26,Animal_26,2018-01-18,Female,49,444,265
27,Animal_27,2018-06-15,Female,81,500,143
28,Animal_28,2011-06-09,Female,358,351,395
29,Animal_29,2010-05-02,Male,197,226,271
30,Animal_30,2011-04-08,Female,375,321,456
31,Animal_31,2020-03-12,Female,482,205,319
32,Animal_32,2010-11-21,Male,6,290,431
33,Animal_33,2012-10-16,Male,310,12,168
34,Animal_34,2016-08-25,Female,466,385,297
35,Animal_35,2020-01-22,Female,98,68,117
36,Animal_36,2019-06-10,Male,393,410,425
37,Animal_37,2020-07-17,Male,22,236,393
38,Animal_38,2016-01-26,Male,251,330,138
39,Animal_39,2015-06-28,Male,432,101,64
40,Animal_40,2018-03-20,Female,8,380,221
41,Animal_41,2014-03-13,Female,402,134,323
42,Animal_42,2018-03-12,Female,325,92,195
43,Animal_43,2024-08-17,Male,268,216,270
44,Animal_44,2010-09-19,Male,261,248,370
45,Animal_45,2010-12-06,Female,199,438,102
46,Animal_46,2015-09-16,Male,24,219,135
47,Animal_47,2015-09-15,Female,412,403,401
48,Animal_48,2021-06-26,Male,292,140,302
49,Animal_49,2011-03-31,Female,338,321,355
50,Animal_50,2023-12-23,Female,367,301,220
51,Animal_51,2012-04-03,Male,118,314,29
52,Animal_52,2011-10-29,Female,195,380,394
53,Animal_53,2016-01-12,Female,104,258,244
54,Animal_54,2014-12-15,Male,346,112,38
55,Animal_55,2012-02-25,Female,247,133,191
56,Animal_56,2022-03-23,Male,500,152,28
57,Animal_57,2020-08-25,Female,69,153,279
58,Animal_58,2019-12-29,Male,33,387,377
59,Animal_59,2014-06-25,Female,422,142,474
60,Animal_60,2019-05-10,Male,110,206,355
61,Animal_61,2016-01-09,Male,398,86,356
62,Animal_62,2018-05-13,Female,345,101,277
63,Animal_63,2016-10-12,Male,81,45,111
64,Animal_64,2017-05-23,Female,439,411,49
65,Animal_65,2018-05-19,Female,107,49,233
66,Animal_66,2015-05-09,Female,98,447,191
67,Animal_67,2019-09-14,Female,383,385,235
68,Animal_68,2012-10-08,Female,36,380,322
69,Animal_69,2024-07-08,Female,51,168,38
70,Animal_70,2013-06-14,Female,166,439,310
71,Animal_71,2012-10-16,Female,398,486,31
72,Animal_72,2022-05-01,Male,479,384,418
73,Animal_73,2020-02-19,Male,142,118,426
74,Animal_74,2010-06-15,Male,264,376,216
75,Animal_75,2024-08-15,Female,260,74,294
76,Animal_76,2022-06-26,Female,366,383,134
77,Animal_77,2022-06-06,Female,278,288,170
78,Animal_78,2017-07-26,Male,223,458,112
79,Animal_79,2023-04-15,Female,436,275,173
80,Animal_80,2017-03-16,Female,327,319,462
81,Animal_81,2021-02-04,Female,226,95,347
82,Animal_82,2011-04-28,Female,94,474,403
83,Animal_83,2013-06-19,Female,274,493,9
84,Animal_84,2021-08-04,Female,12,281,142
85,Animal_85,2016-10-02,Male,99,454,36
86,Animal_86,2012-06-23,Male,425,364,151
87,Animal_87,2011-01-10,Male,58,310,31
88,Animal_88,2011-09-19,Male,155,403,184
89,Animal_89,2020-01-18,Female,428,205,132
90,Animal_90,2018-03-14,Male,123,407,470
91,Animal_91,2022-03-28,Male,84,370,308
92,Animal_92,2020-06-23,Male,485,462,168
93,Animal_93,2024-08-03,Male,59,147,362
94,Animal_94,2010-06-16,Female,124,166,500
95,Animal_95,2013-03-11,Male,293,390,150
96,Animal_96,2014-05-29,Male,470,483,399
97,Animal_97,2011-02-27,Female,256,495,305
98,Animal_98,2018-12-14,Female,138,141,390
99,Animal_99,2011-08-04,Male,247,230,313
100,Animal_100,2018-10-09,Female,434,487,494
101,Animal_101,2011-02-23,Female,257,397,472
102,Animal_102,2022-04-09,Female,219,80,415
103,Animal_103,2020-01-20,Male,314,131,165
104,Animal_104,2010-07-03,Female,26,313,19
105,Animal_105,2015-03-28,Female,9,205,348
106,Animal_106,2018-12-24,Male,178,187,424
107,Animal_107,2018-03-21,Female,485,65,341
108,Animal_108,2012-05-22,Female,168,44,297
109,Animal_109,2011-09-01,Female,381,221,223
110,Animal_110,2015-12-27,Male,358,209,368
111,Animal_111,2010-04-12,Female,377,301,174
112,Animal_112,2012-08-17,Male,429,410,301
113,Animal_113,2023-10-09,Male,243,88,296
114,Animal_114,2013-11-08,Male,65,63,64
115,Animal_115,2022-02-14,Female,300,419,229
116,Animal_116,2017-09-04,Male,425,26,32
117,Animal_117,2021-08-12,Male,446,118,213
118,Animal_118,2012-02-17,Female,6,85,402
119,Animal_119,2021-01-21,Female,38,388,482
120,Animal_120,2019-09-12,Female,127,52,317
121,Animal_121,2018-12-02,Female,166,264,481
122,Animal_122,2012-06-06,Female,423,49,461
123,Animal_123,2013-02-09,Male,418,489,478
124,Animal_124,2011-11-02,Male,396,19,176
125,Animal_125,2010-01-17,Male,137,249,409
126,Animal_126,2024-04-25,Female,400,359,154
127,Animal_127,2022-04-18,Female,240,324,234
128,Animal_128,2011-08-25,Male,355,366,449
129,Animal_129,2018-11-06,Male,164,8,320
130,Animal_130,2012-01-04,Female,9,180,468
131,Animal_131,2023-08-23,Male,247,442,342
132,Animal_132,2010-09-21,Female,159,341,258
133,Animal_133,2016-02-16,Female,330,316,284
134,Animal_134,2011-03-10,Female,167,394,31
135,Animal_135,2024-12-27,Female,28,181,438
136,Animal_136,2020-02-05,Male,282,315,484
137,Animal_137,2023-08-18,Female,60,432,176
138,Animal_138,2018-08-30,Male,331,355,226
139,Animal_139,2018-01-30,Male,154,239,144
140,Animal_140,2011-01-03,Male,299,251,342
141,Animal_141,2017-10-03,Male,295,174,266
142,Animal_142,2020-07-11,Female,290,216,433
143,Animal_143,2023-10-21,Female,21,185,267
144,Animal_144,2021-02-01,Female,188,354,369
145,Animal_145,2022-02-12,Female,301,122,203
146,Animal_146,2024-10-01,Male,85,146,443
147,Animal_147,2013-04-05,Male,406,320,195
148,Animal_148,2023-01-06,Male,11,241,58
149,Animal_149,2015-04-14,Female,345,278,485
150,Animal_150,2014-03-01,Male,6,345,474
151,Animal_151,2014-05-15,Male,350,463,114
152,Animal_152,2023-07-31,Female,390,212,375
153,Animal_153,2012-09-03,Female,57,490,148
154,Animal_154,2020-08-04,Male,454,403,156
155,Animal_155,2017-12-29,Female,393,489,129
156,Animal_156,2021-11-30,Male,248,88,193
157,Animal_157,2022-07-28,Female,100,497,499
158,Animal_158,2016-07-11,Female,68,113,126
159,Animal_159,2014-06-10,Female,121,311,159
160,Animal_160,2020-03-03,Female,159,95,404
161,Animal_161,2013-05-22,Male,324,292,145
162,Animal_162,2017-11-14,Male,208,186,491
163,Animal_163,2012-02-12,Male,461,444,410
164,Animal_164,2017-01-11,Female,17,334,356
165,Animal_165,2023-07-05,Female,76,123,480
166,Animal_166,2023-05-23,Female,5,72,330
167,Animal_167,2020-06-05,Male,491,375,140
168,Animal_168,2012-07-27,Female,396,20,252
169,Animal_169,2020-07-17,Male,145,297,252
170,Animal_170,2023-06-30,Female,421,6,31
171,Animal_171,2020-09-08,Female,375,81,71
172,Animal_172,2023-03-29,Female,320,174,476
173,Animal_173,2012-11-20,Female,216,493,16
174,Animal_174,2013-02-14,Female,383,74,172
175,Animal_175,2019-07-04,Female,405,281,275
176,Animal_176,2010-03-10,Male,291,440,402
177,Animal_177,2017-04-18,Female,391,59,266
178,Animal_178,2012-08-22,Male,283,486,76
179,Animal_179,2017-12-24,Female,154,181,457
180,Animal_180,2016-11-05,Female,230,104,39
181,Animal_181,2022-05-28,Female,10,427,85
182,Animal_182,2014-05-07,Male,86,347,266
183,Animal_183,2013-03-01,Male,449,119,364
184,Animal_184,2018-02-16,Male,138,478,51
185,Animal_185,2015-05-05,Female,207,152,60
186,Animal_186,2010-11-20,Female,111,81,426
187,Animal_187,2024-11-09,Male,425,168,240
188,Animal_188,2021-05-16,Male,468,29,140
189,Animal_189,2016-10-14,Female,332,247,230
190,Animal_190,2015-04-11,Male,376,474,49
191,Animal_191,2016-10-12,Male,447,77,234
