RecordID,CheckupDate,Weight,HealthStatus,AnimalID
1,2025-02-20,102.36,Critical,1
2,2022-06-19,165.95,Under Observation,2
3,2025-06-29,493.77,Healthy,3
4,2025-01-15,486.74,Healthy,4
5,2014-02-08,425.31,Under Observation,5
6,2019-05-10,17.38,Sick,6
7,2025-10-23,138.16,Critical,7
8,2018-11-08,150.02,Healthy,8
9,2024-07-06,95.27,Critical,9
10,2020-12-17,188.64,Under Observation,10
11,2021-04-09,415.64,Recovering,11
12,2025-12-27,234.71,Critical,12
13,2024-09-03,167.57,Sick,13
14,2021-11-13,64.35,Recovering,14
15,2024-04-05,202.39,Under Observation,15
16,2025-08-14,313.39,Critical,16
17,2025-07-28,348.47,Under Observation,17
18,2020-09-17,166.05,Recovering,18
19,2023-12-04,186.47,Recovering,19
20,2010-12-10,25.0,Recovering,20
21,2015-04-25,114.17,Recovering,21
22,2025-04-05,460.56,Under Observation,22
23,2020-01-16,115.22,Recovering,23
24,2014-05-27,29.08,Sick,24
25,2025-07-07,435.16,Sick,25
26,2025-02-22,346.67,Sick,26
27,2024-02-29,79.11,Healthy,27
28,2013-08-05,158.67,Sick,28
29,2025-09-29,170.03,Under Observation,29
30,2020-03-25,391.64,Under Observation,30
31,2023-11-28,336.83,Critical,31
32,2022-02-24,489.07,Under Observation,32
33,2020-07-22,146.77,Critical,33
34,2023-10-16,475.62,Healthy,34
35,2016-11-04,82.31,Critical,35
36,2021-02-04,409.51,Under Observation,36
37,2022-04-20,30.21,Sick,37
38,2013-10-09,479.01,Under Observation,38
39,2025-09-05,363.65,Recovering,39
40,2014-03-14,485.8,Critical,40
41,2026-03-10,13.36,Critical,41
42,2024-03-30,164.22,Sick,42
43,2022-05-14,112.25,Critical,43
44,2020-07-05,158.55,Sick,44
45,2025-01-03,231.83,Under Observation,45
46,2023-07-04,329.4,Sick,46
47,2022-01-13,266.32,Under Observation,47
48,2025-11-03,332.97,Recovering,48
49,2021-03-03,349.41,Recovering,49
50,2024-08-28,246.57,Recovering,50
51,2023-03-01,223.48,Sick,51
52,2025-09-24,278.26,Recovering,52
53,2024-02-15,122.07,Recovering,53
54,2024-02-15,55.64,Recovering,54
55,2024-10-11,159.7,Healthy,55
56,2018-03-02,39.97,Under Observation,56
57,2025-01-20,135.9,Recovering,57
58,2024-12-25,162.23,Recovering,58
59,2025-02-04,380.36,Healthy,59
60,2017-01-30,16.51,Recovering,60
61,2022-11-26,258.79,Under Observation,61
62,2018-11-22,155.53,Under Observation,62
63,2019-06-17,137.18,Healthy,63
64,2023-06-15,204.6,Under Observation,64
65,2023-11-14,256.64,Sick,65
66,2024-01-09,309.2,Healthy,66
67,2023-06-10,32.26,Sick,67
68,2025-07-23,385.93,Healthy,68
69,2022-01-04,57.7,Sick,69
70,2016-03-24,76.37,Under Observation,70
71,2016-08-27,73.75,Sick,71
72,2024-10-17,185.87,Recovering,72
73,2025-05-29,440.58,Healthy,73
74,2018-06-25,368.25,Sick,74
75,2024-06-12,201.15,Critical,75
76,2015-04-08,473.88,Sick,76
77,2026-01-27,479.17,Healthy,77
78,2024-02-02,374.46,Critical,78
79,2022-09-24,79.1,Under Observation,79
80,2022-07-20,292.27,Sick,80
81,2026-01-24,347.73,Healthy,81
82,2025-05-06,411.01,Recovering,82
83,2024-04-01,499.06,Sick,83
84,2023-12-21,424.13,Recovering,84
85,2021-01-22,228.06,Recovering,85
86,2012-08-18,432.01,Under Observation,86
87,2026-01-16,134.68,Under Observation,87
88,2022-11-10,70.06,Under Observation,88
89,2022-01-26,8.41,Recovering,89
90,2023-05-14,267.31,Recovering,90
91,2020-09-05,379.81,Critical,91
92,2018-03-04,57.54,Sick,92
93,2016-01-11,265.06,Sick,93
94,2025-02-01,312.04,Critical,94
95,2024-06-03,183.72,Under Observation,95
96,2022-11-05,488.9,Critical,96
97,2021-03-21,225.66,Sick,97
98,2017-11-28,415.26,Recovering,98
99,2024-12-29,177.73,Healthy,99
100,2025-01-08,344.89,Sick,100
101,2021-09-06,80.21,Recovering,101
102,2020-12-28,344.11,Critical,102
103,2022-08-30,67.58,Under Observation,103
104,2019-08-07,441.53,Healthy,104
105,2025-04-24,79.11,Recovering,105
106,2022-10-28,76.71,Recovering,106
107,2024-12-26,127.41,Sick,107
108,2023-04-23,410.89,Healthy,108
