DietPlanID,PlanName,DailyCost
1,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,50.25
2,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,7.4
3,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,6.43
4,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,9.65
5,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,95.9
6,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,37.37
7,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,39.24
8,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,56.72
9,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,98.08
10,quis odio consequat varius integer ac leo pellentesque ultrices mattis,99.35
11,aliquam non mauris morbi non lectus aliquam sit amet diam in magna,92.77
12,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,30.68
13,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,45.44
14,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,63.1
15,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,35.68
16,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,98.34
17,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,31.8
18,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,34.31
19,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,67.36
20,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,77.53
21,sapien sapien non mi integer ac neque duis bibendum morbi non quam,66.15
22,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,69.23
23,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,51.0
24,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,58.08
25,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,34.15
26,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,90.48
