SpeciesID,CommonName,ScientificName,ConservationStatus
1,African skink,Mabuya spilogaster,Endangered
2,"Wallaby, agile",Macropus agilis,Near Threatened
3,"Owl, white-browed",Ninox superciliaris,Near Threatened
4,"Kiskadee, great",Pitangus sulphuratus,Critically Endangered
5,African pied wagtail,Motacilla aguimp,Endangered
6,"Genet, small-spotted",Genetta genetta,Vulnerable
7,Onager,Equus hemionus,Endangered
8,"Leopard, indian",Panthera pardus,Endangered
9,Southern elephant seal,Mirounga leonina,Least Concern
10,Steenbok,Raphicerus campestris,Least Concern
11,Chilean flamingo,Phoenicopterus chilensis,Extinct in the Wild
12,"Boa, mexican",Boa constrictor mexicana,Near Threatened
13,"Wallaby, dama",Macropus eugenii,Vulnerable
14,"Colobus, white-mantled",Colobus guerza,Vulnerable
15,Common genet,Genetta genetta,Endangered
16,"Stork, greater adjutant",Leptoptilus dubius,Endangered
17,Slender loris,Loris tardigratus,Near Threatened
18,Arctic tern,Sterna paradisaea,Extinct in the Wild
19,"Turkey, common",Meleagris gallopavo,Least Concern
20,Antelope ground squirrel,Ammospermophilus nelsoni,Least Concern
21,"Stork, painted",Mycteria leucocephala,Extinct in the Wild
22,Tarantula,Lasiodora parahybana,Extinct in the Wild
23,"Vulture, king",Sarcorhamphus papa,Near Threatened
24,Indian leopard,Panthera pardus,Least Concern
25,Mocking cliffchat,Thamnolaea cinnmomeiventris,Least Concern
26,Glossy starling (unidentified),Lamprotornis sp.,Critically Endangered
27,Cape clawless otter,Aonyx capensis,Least Concern
28,"Macaque, bonnet",Macaca radiata,Critically Endangered
29,Sea birds (unidentified),unavailable,Critically Endangered
30,"Moorhen, purple",Porphyrio porphyrio,Near Threatened
31,Red and blue macaw,Ara chloroptera,Extinct in the Wild
32,Hippopotamus,Hippopotamus amphibius,Endangered
33,"Whale, long-finned pilot",Globicephala melas,Extinct in the Wild
34,Black-throated cardinal,Paroaria gularis,Vulnerable
35,Eurasian red squirrel,Sciurus vulgaris,Extinct in the Wild
36,Argalis,Ovis ammon,Least Concern
37,"Dolphin, common",Delphinus delphis,Critically Endangered
38,Crown of thorns starfish,Acanthaster planci,Critically Endangered
39,Black-collared barbet,Lybius torquatus,Vulnerable
40,"Racer, blue",Coluber constrictor foxii,Endangered
41,Mocking cliffchat,Thamnolaea cinnmomeiventris,Least Concern
42,Brown brocket,Mazama gouazoubira,Least Concern
43,Japanese macaque,Macaca fuscata,Endangered
44,Indian star tortoise,Geochelone elegans,Extinct in the Wild
45,Brolga crane,Grus rubicundus,Endangered
46,Indian star tortoise,Geochelone elegans,Least Concern
47,"Lizard, blue-tongued",Tiliqua scincoides,Critically Endangered
48,Black-capped capuchin,Cebus apella,Least Concern
